name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_temperature,correct_temperature_label,correct_answer
Rose,2019-02-25,Neil,2019-07-10,Matt,2019-04-18,"['Rose', 'Neil', 'Matt']",Rose sold their car on the 25th of February. Neil sold their car on the 10th of July. Matt sold their car on the 18th of April. The only person that sold their car in a warm month is,2019-07-10,warm,1,Neil
Mark,2019-07-22,Josh,2019-02-18,Robert,2019-06-09,"['Mark', 'Josh', 'Robert']",Mark played beer pong on the 22nd of July. Josh played beer pong on the 18th of February. Robert played beer pong on the 9th of June. The only person that played beer pong in a cold month is,2019-02-18,cold,0,Josh
William,2019-06-13,Alice,2019-02-11,Connor,2019-06-22,"['William', 'Alice', 'Connor']",William got a massage on the 13th of June. Alice got a massage on the 11th of February. Connor got a massage on the 22nd of June. The only person that got a massage in a cold month is,2019-02-11,cold,0,Alice
Alex,2019-08-11,Dallas,2019-12-01,Grant,2019-02-03,"['Alex', 'Dallas', 'Grant']",Alex visited a new city on the 11th of August. Dallas visited a new city on the 1st of December. Grant visited a new city on the 3rd of February. The only person that visited a new city in a warm month is,2019-08-11,warm,1,Alex
Richard,2019-06-25,Neil,2019-12-22,April,2019-08-22,"['Richard', 'Neil', 'April']",Richard left for vacation on the 25th of June. Neil left for vacation on the 22nd of December. April left for vacation on the 22nd of August. The only person that left for vacation in a cold month is,2019-12-22,cold,0,Neil
Matt,2019-10-11,Laura,2019-07-22,Bob,2019-02-01,"['Matt', 'Laura', 'Bob']",Matt bought a new car on the 11th of October. Laura bought a new car on the 22nd of July. Bob bought a new car on the 1st of February. The only person that bought a new car in a cold month is,2019-02-01,cold,0,Bob
Matt,2019-03-29,Rose,2019-08-22,Dallas,2019-06-02,"['Matt', 'Rose', 'Dallas']",Matt repaired the bike on the 29th of March. Rose repaired the bike on the 22nd of August. Dallas repaired the bike on the 2nd of June. The only person that repaired the bike in a cold month is,2019-03-29,cold,0,Matt
April,2019-08-22,Joy,2019-03-15,Blake,2019-11-12,"['April', 'Joy', 'Blake']",April arrived in the US on the 22nd of August. Joy arrived in the US on the 15th of March. Blake arrived in the US on the 12th of November. The only person that arrived in the US in a warm month is,2019-08-22,warm,1,April
Emily,2019-07-13,John,2019-08-09,George,2019-12-04,"['Emily', 'John', 'George']",Emily sent a package on the 13th of July. John sent a package on the 9th of August. George sent a package on the 4th of December. The only person that sent a package in a cold month is,2019-12-04,cold,0,George
Blake,2019-03-30,Kyle,2019-10-16,Alex,2019-03-08,"['Blake', 'Kyle', 'Alex']",Blake got a manicure on the 30th of March. Kyle got a manicure on the 16th of October. Alex got a manicure on the 8th of March. The only person that got a manicure in a warm month is,2019-10-16,warm,1,Kyle
Leon,2019-05-15,Rose,2019-08-24,Fred,2019-04-19,"['Leon', 'Rose', 'Fred']",Leon went to a Chinese restaurant on the 15th of May. Rose went to a Chinese restaurant on the 24th of August. Fred went to a Chinese restaurant on the 19th of April. The only person that went to a Chinese restaurant in a cold month is,2019-04-19,cold,0,Fred
Ryan,2019-06-13,Mark,2019-03-10,Rachel,2019-10-19,"['Ryan', 'Mark', 'Rachel']",Ryan got a haircut on the 13th of June. Mark got a haircut on the 10th of March. Rachel got a haircut on the 19th of October. The only person that got a haircut in a cold month is,2019-03-10,cold,0,Mark
Robert,2019-06-20,Brandon,2019-01-16,Tyler,2019-09-13,"['Robert', 'Brandon', 'Tyler']",Robert went to a Mexican restaurant on the 20th of June. Brandon went to a Mexican restaurant on the 16th of January. Tyler went to a Mexican restaurant on the 13th of September. The only person that went to a Mexican restaurant in a cold month is,2019-01-16,cold,0,Brandon
Marco,2019-05-28,Jack,2019-11-15,Brandon,2019-01-28,"['Marco', 'Jack', 'Brandon']",Marco harvested a garden on the 28th of May. Jack harvested a garden on the 15th of November. Brandon harvested a garden on the 28th of January. The only person that harvested a garden in a warm month is,2019-05-28,warm,1,Marco
Joy,2019-03-30,Max,2019-11-07,Josh,2019-05-12,"['Joy', 'Max', 'Josh']",Joy wrote a letter on the 30th of March. Max wrote a letter on the 7th of November. Josh wrote a letter on the 12th of May. The only person that wrote a letter in a warm month is,2019-05-12,warm,1,Josh
Josh,2019-03-17,Martin,2019-11-10,Emily,2019-10-01,"['Josh', 'Martin', 'Emily']",Josh had a barbecue on the 17th of March. Martin had a barbecue on the 10th of November. Emily had a barbecue on the 1st of October. The only person that had a barbecue in a warm month is,2019-10-01,warm,1,Emily
Fred,2019-05-08,Leon,2019-05-15,Dean,2019-01-02,"['Fred', 'Leon', 'Dean']",Fred sent a package on the 8th of May. Leon sent a package on the 15th of May. Dean sent a package on the 2nd of January. The only person that sent a package in a cold month is,2019-01-02,cold,0,Dean
Grant,2019-05-31,Richard,2019-01-22,Peter,2019-12-27,"['Grant', 'Richard', 'Peter']",Grant cleaned the shed on the 31st of May. Richard cleaned the shed on the 22nd of January. Peter cleaned the shed on the 27th of December. The only person that cleaned the shed in a warm month is,2019-05-31,warm,1,Grant
Tyler,2019-12-09,Aaron,2019-10-05,Fred,2019-03-25,"['Tyler', 'Aaron', 'Fred']",Tyler repaired the bike on the 9th of December. Aaron repaired the bike on the 5th of October. Fred repaired the bike on the 25th of March. The only person that repaired the bike in a warm month is,2019-10-05,warm,1,Aaron
April,2019-01-05,Rose,2019-11-13,Ryan,2019-05-10,"['April', 'Rose', 'Ryan']",April arrived in Italy on the 5th of January. Rose arrived in Italy on the 13th of November. Ryan arrived in Italy on the 10th of May. The only person that arrived in Italy in a warm month is,2019-05-10,warm,1,Ryan
Marco,2019-04-11,Dean,2019-01-13,Tyler,2019-07-27,"['Marco', 'Dean', 'Tyler']",Marco watched TV on the 11th of April. Dean watched TV on the 13th of January. Tyler watched TV on the 27th of July. The only person that watched TV in a warm month is,2019-07-27,warm,1,Tyler
Alex,2019-07-08,April,2019-02-06,Rose,2019-06-09,"['Alex', 'April', 'Rose']",Alex refinanced the mortgage on the 8th of July. April refinanced the mortgage on the 6th of February. Rose refinanced the mortgage on the 9th of June. The only person that refinanced the mortgage in a cold month is,2019-02-06,cold,0,April
Laura,2019-05-15,George,2019-12-01,Ryan,2019-06-09,"['Laura', 'George', 'Ryan']",Laura won a contest on the 15th of May. George won a contest on the 1st of December. Ryan won a contest on the 9th of June. The only person that won a contest in a cold month is,2019-12-01,cold,0,George
Connor,2019-02-06,Ryan,2019-08-27,April,2019-11-18,"['Connor', 'Ryan', 'April']",Connor left for vacation on the 6th of February. Ryan left for vacation on the 27th of August. April left for vacation on the 18th of November. The only person that left for vacation in a warm month is,2019-08-27,warm,1,Ryan
Rachel,2019-04-25,Kyle,2019-10-26,Grant,2019-11-02,"['Rachel', 'Kyle', 'Grant']",Rachel took an exam on the 25th of April. Kyle took an exam on the 26th of October. Grant took an exam on the 2nd of November. The only person that took an exam in a warm month is,2019-10-26,warm,1,Kyle
Fred,2019-07-13,Connor,2019-08-18,Jerry,2019-12-26,"['Fred', 'Connor', 'Jerry']",Fred attended a funeral on the 13th of July. Connor attended a funeral on the 18th of August. Jerry attended a funeral on the 26th of December. The only person that attended a funeral in a cold month is,2019-12-26,cold,0,Jerry
Maria,2019-10-20,Fred,2019-04-17,Alice,2019-09-29,"['Maria', 'Fred', 'Alice']",Maria went to a French restaurant on the 20th of October. Fred went to a French restaurant on the 17th of April. Alice went to a French restaurant on the 29th of September. The only person that went to a French restaurant in a cold month is,2019-04-17,cold,0,Fred
Blake,2019-08-15,Mark,2019-07-22,Frank,2019-02-20,"['Blake', 'Mark', 'Frank']",Blake got a raise on the 15th of August. Mark got a raise on the 22nd of July. Frank got a raise on the 20th of February. The only person that got a raise in a cold month is,2019-02-20,cold,0,Frank
Marco,2019-01-31,Frank,2019-07-14,Kevin,2019-05-24,"['Marco', 'Frank', 'Kevin']",Marco took a bus on the 31st of January. Frank took a bus on the 14th of July. Kevin took a bus on the 24th of May. The only person that took a bus in a cold month is,2019-01-31,cold,0,Marco
Tyler,2019-10-11,Richard,2019-04-05,George,2019-09-09,"['Tyler', 'Richard', 'George']",Tyler watched a movie on the 11th of October. Richard watched a movie on the 5th of April. George watched a movie on the 9th of September. The only person that watched a movie in a cold month is,2019-04-05,cold,0,Richard
Frank,2019-01-26,Marco,2019-04-11,Scott,2019-06-11,"['Frank', 'Marco', 'Scott']",Frank washed the floors on the 26th of January. Marco washed the floors on the 11th of April. Scott washed the floors on the 11th of June. The only person that washed the floors in a warm month is,2019-06-11,warm,1,Scott
Kevin,2019-05-14,George,2019-11-23,Laura,2019-01-22,"['Kevin', 'George', 'Laura']",Kevin washed the floors on the 14th of May. George washed the floors on the 23rd of November. Laura washed the floors on the 22nd of January. The only person that washed the floors in a warm month is,2019-05-14,warm,1,Kevin
Luke,2019-08-15,Leon,2019-07-16,Neil,2019-12-25,"['Luke', 'Leon', 'Neil']",Luke moved to a new city on the 15th of August. Leon moved to a new city on the 16th of July. Neil moved to a new city on the 25th of December. The only person that moved to a new city in a cold month is,2019-12-25,cold,0,Neil
Martin,2019-08-22,Richard,2019-03-04,Tyler,2019-10-11,"['Martin', 'Richard', 'Tyler']",Martin got a massage on the 22nd of August. Richard got a massage on the 4th of March. Tyler got a massage on the 11th of October. The only person that got a massage in a cold month is,2019-03-04,cold,0,Richard
Richard,2019-09-16,Bob,2019-03-08,Mark,2019-03-10,"['Richard', 'Bob', 'Mark']",Richard alphabetized the bookshelf on the 16th of September. Bob alphabetized the bookshelf on the 8th of March. Mark alphabetized the bookshelf on the 10th of March. The only person that alphabetized the bookshelf in a warm month is,2019-09-16,warm,1,Richard
Walker,2019-07-08,Blake,2019-08-08,Max,2019-03-26,"['Walker', 'Blake', 'Max']",Walker went to the beach on the 8th of July. Blake went to the beach on the 8th of August. Max went to the beach on the 26th of March. The only person that went to the beach in a cold month is,2019-03-26,cold,0,Max
Alex,2019-12-14,Josh,2019-12-22,George,2019-06-14,"['Alex', 'Josh', 'George']",Alex purchased a new laptop on the 14th of December. Josh purchased a new laptop on the 22nd of December. George purchased a new laptop on the 14th of June. The only person that purchased a new laptop in a warm month is,2019-06-14,warm,1,George
Brandon,2019-05-27,Jerry,2019-10-02,Dean,2019-04-14,"['Brandon', 'Jerry', 'Dean']",Brandon visited a new country on the 27th of May. Jerry visited a new country on the 2nd of October. Dean visited a new country on the 14th of April. The only person that visited a new country in a cold month is,2019-04-14,cold,0,Dean
Aaron,2019-07-03,Marco,2019-03-24,Ryan,2019-02-03,"['Aaron', 'Marco', 'Ryan']",Aaron went to an Indian restaurant on the 3rd of July. Marco went to an Indian restaurant on the 24th of March. Ryan went to an Indian restaurant on the 3rd of February. The only person that went to an Indian restaurant in a warm month is,2019-07-03,warm,1,Aaron
Fred,2019-04-29,Hope,2019-04-06,Charlie,2019-06-17,"['Fred', 'Hope', 'Charlie']",Fred renovated the kitchen on the 29th of April. Hope renovated the kitchen on the 6th of April. Charlie renovated the kitchen on the 17th of June. The only person that renovated the kitchen in a warm month is,2019-06-17,warm,1,Charlie
Jerry,2019-11-25,Josh,2019-08-28,Blake,2019-08-07,"['Jerry', 'Josh', 'Blake']",Jerry washed the floors on the 25th of November. Josh washed the floors on the 28th of August. Blake washed the floors on the 7th of August. The only person that washed the floors in a cold month is,2019-11-25,cold,0,Jerry
Luke,2019-08-03,Tyler,2019-07-05,Robert,2019-11-04,"['Luke', 'Tyler', 'Robert']",Luke went camping on the 3rd of August. Tyler went camping on the 5th of July. Robert went camping on the 4th of November. The only person that went camping in a cold month is,2019-11-04,cold,0,Robert
Marco,2019-05-28,Kyle,2019-07-19,Ryan,2019-04-04,"['Marco', 'Kyle', 'Ryan']",Marco played beer pong on the 28th of May. Kyle played beer pong on the 19th of July. Ryan played beer pong on the 4th of April. The only person that played beer pong in a cold month is,2019-04-04,cold,0,Ryan
Jack,2019-03-01,Kyle,2019-02-09,Tyler,2019-09-02,"['Jack', 'Kyle', 'Tyler']",Jack visited a new country on the 1st of March. Kyle visited a new country on the 9th of February. Tyler visited a new country on the 2nd of September. The only person that visited a new country in a warm month is,2019-09-02,warm,1,Tyler
Jack,2019-02-18,Martin,2019-11-06,Luke,2019-05-20,"['Jack', 'Martin', 'Luke']",Jack went to a Thai restaurant on the 18th of February. Martin went to a Thai restaurant on the 6th of November. Luke went to a Thai restaurant on the 20th of May. The only person that went to a Thai restaurant in a warm month is,2019-05-20,warm,1,Luke
Aaron,2019-03-21,Laura,2019-07-15,Bob,2019-11-12,"['Aaron', 'Laura', 'Bob']",Aaron compiled the spreadsheet on the 21st of March. Laura compiled the spreadsheet on the 15th of July. Bob compiled the spreadsheet on the 12th of November. The only person that compiled the spreadsheet in a warm month is,2019-07-15,warm,1,Laura
April,2019-05-14,Kevin,2019-01-03,Laura,2019-07-26,"['April', 'Kevin', 'Laura']",April renovated the bathroom on the 14th of May. Kevin renovated the bathroom on the 3rd of January. Laura renovated the bathroom on the 26th of July. The only person that renovated the bathroom in a cold month is,2019-01-03,cold,0,Kevin
Kyle,2019-08-25,Scott,2019-07-20,Matt,2019-03-26,"['Kyle', 'Scott', 'Matt']",Kyle took a taxi on the 25th of August. Scott took a taxi on the 20th of July. Matt took a taxi on the 26th of March. The only person that took a taxi in a cold month is,2019-03-26,cold,0,Matt
Alice,2019-08-12,Martin,2019-04-21,Kyle,2019-06-07,"['Alice', 'Martin', 'Kyle']",Alice went to the zoo on the 12th of August. Martin went to the zoo on the 21st of April. Kyle went to the zoo on the 7th of June. The only person that went to the zoo in a cold month is,2019-04-21,cold,0,Martin
Marco,2019-02-24,Kyle,2019-01-21,Ryan,2019-06-09,"['Marco', 'Kyle', 'Ryan']",Marco watched TV on the 24th of February. Kyle watched TV on the 21st of January. Ryan watched TV on the 9th of June. The only person that watched TV in a warm month is,2019-06-09,warm,1,Ryan
Tyler,2019-07-05,Kyle,2019-03-11,Laura,2019-07-25,"['Tyler', 'Kyle', 'Laura']",Tyler went to the beach on the 5th of July. Kyle went to the beach on the 11th of March. Laura went to the beach on the 25th of July. The only person that went to the beach in a cold month is,2019-03-11,cold,0,Kyle
April,2019-02-06,Michael,2019-06-16,George,2019-06-17,"['April', 'Michael', 'George']",April called a friend on the 6th of February. Michael called a friend on the 16th of June. George called a friend on the 17th of June. The only person that called a friend in a cold month is,2019-02-06,cold,0,April
Scott,2019-10-15,Joy,2019-10-22,Tyler,2019-04-01,"['Scott', 'Joy', 'Tyler']",Scott took a boat on the 15th of October. Joy took a boat on the 22nd of October. Tyler took a boat on the 1st of April. The only person that took a boat in a cold month is,2019-04-01,cold,0,Tyler
Andrew,2019-09-28,Hope,2019-10-09,Robert,2019-11-04,"['Andrew', 'Hope', 'Robert']",Andrew called a friend on the 28th of September. Hope called a friend on the 9th of October. Robert called a friend on the 4th of November. The only person that called a friend in a cold month is,2019-11-04,cold,0,Robert
Joy,2019-12-04,George,2019-09-26,Neil,2019-02-05,"['Joy', 'George', 'Neil']",Joy moved to a new city on the 4th of December. George moved to a new city on the 26th of September. Neil moved to a new city on the 5th of February. The only person that moved to a new city in a warm month is,2019-09-26,warm,1,George
Neil,2019-03-04,Walker,2019-07-24,Martin,2019-08-24,"['Neil', 'Walker', 'Martin']",Neil participated in a triathlon on the 4th of March. Walker participated in a triathlon on the 24th of July. Martin participated in a triathlon on the 24th of August. The only person that participated in a triathlon in a cold month is,2019-03-04,cold,0,Neil
Kevin,2019-05-14,Luke,2019-01-05,Richard,2019-04-23,"['Kevin', 'Luke', 'Richard']",Kevin ran a marathon on the 14th of May. Luke ran a marathon on the 5th of January. Richard ran a marathon on the 23rd of April. The only person that ran a marathon in a warm month is,2019-05-14,warm,1,Kevin
Jerry,2019-09-30,Dallas,2019-08-16,Matt,2019-11-19,"['Jerry', 'Dallas', 'Matt']",Jerry attended a wedding on the 30th of September. Dallas attended a wedding on the 16th of August. Matt attended a wedding on the 19th of November. The only person that attended a wedding in a cold month is,2019-11-19,cold,0,Matt
Martin,2019-06-04,Rachel,2019-02-07,Josh,2019-01-31,"['Martin', 'Rachel', 'Josh']",Martin renovated the kitchen on the 4th of June. Rachel renovated the kitchen on the 7th of February. Josh renovated the kitchen on the 31st of January. The only person that renovated the kitchen in a warm month is,2019-06-04,warm,1,Martin
Peter,2019-09-22,Emily,2019-03-18,Brandon,2019-01-28,"['Peter', 'Emily', 'Brandon']",Peter went to the gym on the 22nd of September. Emily went to the gym on the 18th of March. Brandon went to the gym on the 28th of January. The only person that went to the gym in a warm month is,2019-09-22,warm,1,Peter
Tyler,2019-07-05,Jason,2019-11-20,Josh,2019-10-08,"['Tyler', 'Jason', 'Josh']",Tyler took a train on the 5th of July. Jason took a train on the 20th of November. Josh took a train on the 8th of October. The only person that took a train in a cold month is,2019-11-20,cold,0,Jason
Connor,2019-04-05,Jason,2019-08-31,Max,2019-12-14,"['Connor', 'Jason', 'Max']",Connor sent a postcard on the 5th of April. Jason sent a postcard on the 31st of August. Max sent a postcard on the 14th of December. The only person that sent a postcard in a warm month is,2019-08-31,warm,1,Jason
Fred,2019-08-14,Leon,2019-03-04,Luke,2019-04-11,"['Fred', 'Leon', 'Luke']",Fred got surgery on the 14th of August. Leon got surgery on the 4th of March. Luke got surgery on the 11th of April. The only person that got surgery in a warm month is,2019-08-14,warm,1,Fred
Hunter,2019-08-09,Andrew,2019-05-10,William,2019-12-03,"['Hunter', 'Andrew', 'William']",Hunter went to a Thai restaurant on the 9th of August. Andrew went to a Thai restaurant on the 10th of May. William went to a Thai restaurant on the 3rd of December. The only person that went to a Thai restaurant in a cold month is,2019-12-03,cold,0,William
Bob,2019-08-30,Richard,2019-06-08,Scott,2019-03-08,"['Bob', 'Richard', 'Scott']",Bob threw a party on the 30th of August. Richard threw a party on the 8th of June. Scott threw a party on the 8th of March. The only person that threw a party in a cold month is,2019-03-08,cold,0,Scott
Joy,2019-03-27,Tyler,2019-01-04,Charlie,2019-07-30,"['Joy', 'Tyler', 'Charlie']",Joy played chess on the 27th of March. Tyler played chess on the 4th of January. Charlie played chess on the 30th of July. The only person that played chess in a warm month is,2019-07-30,warm,1,Charlie
Dean,2019-11-07,Robert,2019-07-01,Hope,2019-04-13,"['Dean', 'Robert', 'Hope']",Dean watched TV on the 7th of November. Robert watched TV on the 1st of July. Hope watched TV on the 13th of April. The only person that watched TV in a warm month is,2019-07-01,warm,1,Robert
Rachel,2019-10-19,Josh,2019-03-17,Robert,2019-04-08,"['Rachel', 'Josh', 'Robert']",Rachel sold their car on the 19th of October. Josh sold their car on the 17th of March. Robert sold their car on the 8th of April. The only person that sold their car in a warm month is,2019-10-19,warm,1,Rachel
Henry,2019-08-07,Blake,2019-05-19,Robert,2019-04-03,"['Henry', 'Blake', 'Robert']",Henry watched a movie on the 7th of August. Blake watched a movie on the 19th of May. Robert watched a movie on the 3rd of April. The only person that watched a movie in a cold month is,2019-04-03,cold,0,Robert
Jack,2019-03-21,Hunter,2019-10-29,John,2019-06-15,"['Jack', 'Hunter', 'John']",Jack had a barbecue on the 21st of March. Hunter had a barbecue on the 29th of October. John had a barbecue on the 15th of June. The only person that had a barbecue in a cold month is,2019-03-21,cold,0,Jack
Jason,2019-02-12,Connor,2019-03-21,Rachel,2019-10-19,"['Jason', 'Connor', 'Rachel']",Jason returned from vacation on the 12th of February. Connor returned from vacation on the 21st of March. Rachel returned from vacation on the 19th of October. The only person that returned from vacation in a warm month is,2019-10-19,warm,1,Rachel
Henry,2019-01-07,Aaron,2019-08-10,Steve,2019-09-21,"['Henry', 'Aaron', 'Steve']",Henry got a massage on the 7th of January. Aaron got a massage on the 10th of August. Steve got a massage on the 21st of September. The only person that got a massage in a cold month is,2019-01-07,cold,0,Henry
Brandon,2019-09-08,Alex,2019-03-17,Maria,2019-09-03,"['Brandon', 'Alex', 'Maria']",Brandon returned from vacation on the 8th of September. Alex returned from vacation on the 17th of March. Maria returned from vacation on the 3rd of September. The only person that returned from vacation in a cold month is,2019-03-17,cold,0,Alex
Luke,2019-05-08,Maria,2019-09-14,Robert,2019-04-08,"['Luke', 'Maria', 'Robert']",Luke participated in a triathlon on the 8th of May. Maria participated in a triathlon on the 14th of September. Robert participated in a triathlon on the 8th of April. The only person that participated in a triathlon in a cold month is,2019-04-08,cold,0,Robert
Hope,2019-04-11,Marco,2019-08-19,Andrew,2019-03-31,"['Hope', 'Marco', 'Andrew']",Hope arrived in Spain on the 11th of April. Marco arrived in Spain on the 19th of August. Andrew arrived in Spain on the 31st of March. The only person that arrived in Spain in a warm month is,2019-08-19,warm,1,Marco
Fred,2019-08-14,Max,2019-03-26,Henry,2019-01-29,"['Fred', 'Max', 'Henry']",Fred won a prize on the 14th of August. Max won a prize on the 26th of March. Henry won a prize on the 29th of January. The only person that won a prize in a warm month is,2019-08-14,warm,1,Fred
Aaron,2019-01-29,Ian,2019-08-16,Walker,2019-02-17,"['Aaron', 'Ian', 'Walker']",Aaron called a friend on the 29th of January. Ian called a friend on the 16th of August. Walker called a friend on the 17th of February. The only person that called a friend in a warm month is,2019-08-16,warm,1,Ian
Peter,2019-06-25,Charlie,2019-02-11,Leon,2019-08-30,"['Peter', 'Charlie', 'Leon']",Peter donated clothes on the 25th of June. Charlie donated clothes on the 11th of February. Leon donated clothes on the 30th of August. The only person that donated clothes in a cold month is,2019-02-11,cold,0,Charlie
George,2019-07-18,April,2019-08-22,Charlie,2019-03-23,"['George', 'April', 'Charlie']",George purchased a new laptop on the 18th of July. April purchased a new laptop on the 22nd of August. Charlie purchased a new laptop on the 23rd of March. The only person that purchased a new laptop in a cold month is,2019-03-23,cold,0,Charlie
Scott,2019-08-30,Jack,2019-06-30,Bob,2019-04-04,"['Scott', 'Jack', 'Bob']",Scott refinanced the mortgage on the 30th of August. Jack refinanced the mortgage on the 30th of June. Bob refinanced the mortgage on the 4th of April. The only person that refinanced the mortgage in a cold month is,2019-04-04,cold,0,Bob
Dean,2019-09-25,Jerry,2019-01-05,Peter,2019-01-19,"['Dean', 'Jerry', 'Peter']",Dean went to a Mexican restaurant on the 25th of September. Jerry went to a Mexican restaurant on the 5th of January. Peter went to a Mexican restaurant on the 19th of January. The only person that went to a Mexican restaurant in a warm month is,2019-09-25,warm,1,Dean
Jerry,2019-08-03,Ryan,2019-12-22,Bob,2019-03-08,"['Jerry', 'Ryan', 'Bob']",Jerry cleaned the shed on the 3rd of August. Ryan cleaned the shed on the 22nd of December. Bob cleaned the shed on the 8th of March. The only person that cleaned the shed in a warm month is,2019-08-03,warm,1,Jerry
Brandon,2019-07-21,Bob,2019-08-30,Robert,2019-12-04,"['Brandon', 'Bob', 'Robert']",Brandon built a desktop computer on the 21st of July. Bob built a desktop computer on the 30th of August. Robert built a desktop computer on the 4th of December. The only person that built a desktop computer in a cold month is,2019-12-04,cold,0,Robert
Andrew,2019-02-26,Steve,2019-06-13,April,2019-12-06,"['Andrew', 'Steve', 'April']",Andrew sold their car on the 26th of February. Steve sold their car on the 13th of June. April sold their car on the 6th of December. The only person that sold their car in a warm month is,2019-06-13,warm,1,Steve
Joy,2019-07-09,Peter,2019-12-30,Rose,2019-08-22,"['Joy', 'Peter', 'Rose']",Joy cleaned the basement on the 9th of July. Peter cleaned the basement on the 30th of December. Rose cleaned the basement on the 22nd of August. The only person that cleaned the basement in a cold month is,2019-12-30,cold,0,Peter
Blake,2019-11-27,Alex,2019-01-10,Connor,2019-07-21,"['Blake', 'Alex', 'Connor']",Blake donated toys on the 27th of November. Alex donated toys on the 10th of January. Connor donated toys on the 21st of July. The only person that donated toys in a warm month is,2019-07-21,warm,1,Connor
Jerry,2019-11-25,Max,2019-03-17,Emily,2019-10-12,"['Jerry', 'Max', 'Emily']",Jerry mowed the lawn on the 25th of November. Max mowed the lawn on the 17th of March. Emily mowed the lawn on the 12th of October. The only person that mowed the lawn in a warm month is,2019-10-12,warm,1,Emily
Ryan,2019-08-18,April,2019-01-05,Dean,2019-11-08,"['Ryan', 'April', 'Dean']",Ryan got surgery on the 18th of August. April got surgery on the 5th of January. Dean got surgery on the 8th of November. The only person that got surgery in a warm month is,2019-08-18,warm,1,Ryan
Emily,2019-07-15,Maria,2019-06-19,April,2019-12-06,"['Emily', 'Maria', 'April']",Emily renovated the bathroom on the 15th of July. Maria renovated the bathroom on the 19th of June. April renovated the bathroom on the 6th of December. The only person that renovated the bathroom in a cold month is,2019-12-06,cold,0,April
Rachel,2019-08-01,Scott,2019-12-10,Luke,2019-04-11,"['Rachel', 'Scott', 'Luke']",Rachel watched TV on the 1st of August. Scott watched TV on the 10th of December. Luke watched TV on the 11th of April. The only person that watched TV in a warm month is,2019-08-01,warm,1,Rachel
Walker,2019-10-16,Fred,2019-02-24,Dallas,2019-12-29,"['Walker', 'Fred', 'Dallas']",Walker visited their family on the 16th of October. Fred visited their family on the 24th of February. Dallas visited their family on the 29th of December. The only person that visited their family in a warm month is,2019-10-16,warm,1,Walker
